key,rmsd,rmsd_min,energy
BACE1-4RRN,1.7911679023773308,0.9396964745521366,-32491.36371752639
BACE1-2IS0,2.695525421548329,1.6499603414037345,-31985.474206159684
BACE1-6BFD,3.8972203374953005,4.219428361397987,-32090.903384158017
BACE1-3WB4,2.2498216554881143,1.7607062976733705,-32367.324484486955
BACE1-4X7I,1.874095714046866,2.0609530966683027,-32192.781215716284
BACE1-2XFI,3.835382665530159,3.304603775988744,-31266.425627857665
BACE1-4I1C,4.383038072794351,5.321384227224153,-32037.46964251615
BACE1-3OHF,3.9288729179516766,3.732587501257734,-31934.09303504099
BACE1-2WF0,4.172645469122912,4.376494633005652,-31883.235923894896
BACE1-4RCF,4.059616708443568,3.0129099193003066,-31886.07880290742
BACE1-1XS7,7.618893441495208,7.972888686040964,-31376.46143577421
BACE1-3L5B,1.818504753587627,1.8716529459277431,-32334.567567422768
BACE1-3L5E,2.5173175205136613,2.2658074691331316,-31958.983920460592
BACE1-4JPC,1.3273669026879946,1.1778173158981957,-31817.24563436056
BACE1-2Q15,3.1843843137425054,2.7945228041121264,-31899.66809420016
BACE1-4B72,3.536124387617914,3.55030712755953,-31226.385092751145
BACE1-3UQW,5.655420564942547,5.495056060147764,-31485.559263891388
BACE1-4L7G,1.2303934474915788,1.0747373674953844,-32305.020725911734
BACE1-4J1E,3.314512245917132,3.317215359595376,-31963.28694638908
BACE1-2VIY,4.185297141063623,3.849144024974903,-32149.09711348328
BACE1-5KR8,3.2672634116360606,3.779696376119671,-32259.29137358007
BACE1-3L38,3.836677312310079,2.4905361355387403,-32061.44022655745
BACE1-3KN0,1.7774525614325716,1.5246544963805189,-32231.51909689873
BACE1-4EXG,3.1745087193302175,2.732152339502686,-32096.89155333353
BACE1-2QU2,4.276713304604423,3.3318879970671285,-32019.95009270538
BACE1-4B00,3.7683960997217056,4.089416139390941,-31757.22426833109
BACE1-4I11,2.887137165795106,3.4070888905828878,-32209.384758782133
BACE1-3I25,4.175089583206937,4.055414877099114,-31332.84907710232
BACE1-3IN3,2.2148854680886987,1.6988154470327033,-32120.341338343816
BACE1-4GID,4.4142780554305485,4.772531134055797,-31515.557458055595
BACE1-4J0Y,2.927507772782569,3.2684719898062684,-32069.9085520128
BACE1-4ZSM,3.646616118098337,2.8995722725319957,-32258.16849612249
BACE1-3BUG,2.4187151987904674,3.0665612255423826,-32215.370643276612
BACE1-3IN4,2.9394873601670586,2.660643762951616,-32339.588967266485
BACE1-3FKT,4.809444975020803,4.253666519734606,-32172.611112201008
BACE1-4LXM,3.7096771939222144,3.5946235921485257,-32110.265546425297
BACE1-3ZOV,3.8344012055784265,4.270945102025561,-31847.52244625232
BACE1-3KMY,2.4113608900549774,2.587112543454575,-32268.68451466132
BACE1-3H0B,3.1212574441680823,2.725838671727605,-32002.533555667353
BACE1-2ZJK,4.805279955340745,5.401242841985097,-32341.434850336977
BACE1-4ZSQ,1.6622409742271422,1.6386121795592758,-32328.63434361261
BACE1-4RCE,4.371825503400515,3.6891265117036625,-31790.418049621177
BACE1-4BFD,2.4897692341933784,2.418980681704907,-32139.88409057215
